Prompt ID,Profile,Question,Answer
1,"18-22 years old, Woman, Asian, Bachelor’s degree, Less than 1 year",What is your preferred development environment?,option_3
1,"18-22 years old, Woman, Asian, Bachelor’s degree, Less than 1 year",How do you learn to code? Please select all that apply.,"option_1, option_4"
1,"18-22 years old, Woman, Asian, Bachelor’s degree, Less than 1 year",What is the biggest challenge you face as a developer?,option_4
1,"18-22 years old, Woman, Asian, Bachelor’s degree, Less than 1 year",When choosing a programming language for a new project you prioritize:,option_3
1,"18-22 years old, Woman, Asian, Bachelor’s degree, Less than 1 year",How do you communicate effectively with teammates to collaborate while adhering to the timelines?,option_1
1,"18-22 years old, Woman, Asian, Bachelor’s degree, Less than 1 year",How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"option_1, option_2, option_4"
1,"18-22 years old, Woman, Asian, Bachelor’s degree, Less than 1 year",How do you balance between innovation and meeting project deadlines?,option_3
1,"18-22 years old, Woman, Asian, Bachelor’s degree, Less than 1 year",Software development contributes to societal challenges by:. Please select all that apply,"option_1, option_3"
1,"18-22 years old, Woman, Asian, Bachelor’s degree, Less than 1 year","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",option_2
1,"18-22 years old, Woman, Asian, Bachelor’s degree, Less than 1 year",You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,option_1
1,"18-22 years old, Woman, Asian, Bachelor’s degree, Less than 1 year",You discover a critical bug right before a software release. What immediate action do you take?,option_2
1,"18-22 years old, Woman, Asian, Bachelor’s degree, Less than 1 year"," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?",option_2
2,"27-35 years old, Man, White, Professional degree, 3-5 years",What is your preferred development environment?,option_1
2,"27-35 years old, Man, White, Professional degree, 3-5 years",How do you learn to code? Please select all that apply.,"option_1, option_4"
2,"27-35 years old, Man, White, Professional degree, 3-5 years",What is the biggest challenge you face as a developer?,option_1
2,"27-35 years old, Man, White, Professional degree, 3-5 years",When choosing a programming language for a new project you prioritize:,option_3
2,"27-35 years old, Man, White, Professional degree, 3-5 years",How do you communicate effectively with teammates to collaborate while adhering to the timelines?,"option_1, option_4"
2,"27-35 years old, Man, White, Professional degree, 3-5 years",How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"option_1, option_2, option_3, option_4"
2,"27-35 years old, Man, White, Professional degree, 3-5 years",How do you balance between innovation and meeting project deadlines?,option_3
2,"27-35 years old, Man, White, Professional degree, 3-5 years",Software development contributes to societal challenges by:. Please select all that apply,"option_1, option_3"
2,"27-35 years old, Man, White, Professional degree, 3-5 years","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",option_3
2,"27-35 years old, Man, White, Professional degree, 3-5 years",You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,option_1
2,"27-35 years old, Man, White, Professional degree, 3-5 years",You discover a critical bug right before a software release. What immediate action do you take?,option_2
2,"27-35 years old, Man, White, Professional degree, 3-5 years"," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?",option_2
3,"23-26 years old, Woman, White, Master's degree, 1-3 years",What is your preferred development environment?,option_3
3,"23-26 years old, Woman, White, Master's degree, 1-3 years",How do you learn to code? Please select all that apply.,"option_1, option_3"
3,"23-26 years old, Woman, White, Master's degree, 1-3 years",What is the biggest challenge you face as a developer?,option_1
3,"23-26 years old, Woman, White, Master's degree, 1-3 years",When choosing a programming language for a new project you prioritize:,option_3
3,"23-26 years old, Woman, White, Master's degree, 1-3 years",How do you communicate effectively with teammates to collaborate while adhering to the timelines?,"option_1, option_3"
3,"23-26 years old, Woman, White, Master's degree, 1-3 years",How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"option_1, option_2, option_4"
3,"23-26 years old, Woman, White, Master's degree, 1-3 years",How do you balance between innovation and meeting project deadlines?,option_3
3,"23-26 years old, Woman, White, Master's degree, 1-3 years",Software development contributes to societal challenges by:. Please select all that apply,"option_1, option_3"
