,Age,Gender,Experience,Question,Option,Count
0,23-26 years old,Man,What is you preferred development environment?,What is you preferred development environment?,Windows,6
1,23-26 years old,Man, How do you learn to code?, How do you learn to code?,Leetcode,1
2,23-26 years old,Man, How do you learn to code?, How do you learn to code?,"School (i.e, University, College, etc)",1
3,23-26 years old,Man, How do you learn to code?, How do you learn to code?,Online Courses or Certification,1
4,23-26 years old,Man, How do you learn to code?, How do you learn to code?,"Online Courses or Certification, School (i.e, University, College, etc)",2
5,23-26 years old,Man, How do you learn to code?, How do you learn to code?,"Online Courses or Certification, Books, School (i.e, University, College, etc)",1
6,23-26 years old,Man,What is the biggest challenge you face as a developer?,What is the biggest challenge you face as a developer?,Keeping up with new technologies,2
7,23-26 years old,Man,What is the biggest challenge you face as a developer?,What is the biggest challenge you face as a developer?,Work-life balance,2
8,23-26 years old,Man,What is the biggest challenge you face as a developer?,What is the biggest challenge you face as a developer?,Understanding existing codebases,1
9,23-26 years old,Man,What is the biggest challenge you face as a developer?,What is the biggest challenge you face as a developer?,Time management,1
10,23-26 years old,Man,"When choosing a programming language for a new project, you prioritize:","When choosing a programming language for a new project, you prioritize:",The specific requirements of the project,5
11,23-26 years old,Man,"When choosing a programming language for a new project, you prioritize:","When choosing a programming language for a new project, you prioritize:",The development team's familiarity with the language,1
12,23-26 years old,Man,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,"Use project management tools to assign tasks and track progress, ensuring everyone is aware of deadlines.",1
13,23-26 years old,Man,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,"Schedule regular meetings for updates and coordination, but keep them concise to avoid taking too much time away from work.",3
14,23-26 years old,Man,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,"Rely on informal chats and emails for quick updates, trusting team members to manage their time efficiently.",2
15,23-26 years old,Man,How do you ensure that you stay up-to-date with industry changes as a software developer?,How do you ensure that you stay up-to-date with industry changes as a software developer?,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies.",2
16,23-26 years old,Man,How do you ensure that you stay up-to-date with industry changes as a software developer?,How do you ensure that you stay up-to-date with industry changes as a software developer?,Participate in online courses and certification programs to acquire new skills and knowledge.,2
17,23-26 years old,Man,How do you ensure that you stay up-to-date with industry changes as a software developer?,How do you ensure that you stay up-to-date with industry changes as a software developer?,,1
18,23-26 years old,Man,How do you ensure that you stay up-to-date with industry changes as a software developer?,How do you ensure that you stay up-to-date with industry changes as a software developer?,"Attend workshops, conferences, and webinars to gain insights from industry leaders and peers., Participate in online courses and certification programs to acquire new skills and knowledge.",1
19,23-26 years old,Man,How do you balance between innovation and meeting project deadlines?,How do you balance between innovation and meeting project deadlines?,Focus solely on meeting deadlines,3
20,23-26 years old,Man,How do you balance between innovation and meeting project deadlines?,How do you balance between innovation and meeting project deadlines?,Allocate specific time for research and innovation,1
21,23-26 years old,Man,How do you balance between innovation and meeting project deadlines?,How do you balance between innovation and meeting project deadlines?,Prioritize innovation over deadlines,2
22,23-26 years old,Man,Software development contributes to societal challenges by:,Software development contributes to societal challenges by:,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps.",3
23,23-26 years old,Man,Software development contributes to societal challenges by:,Software development contributes to societal challenges by:,"Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms.",1
24,23-26 years old,Man,Software development contributes to societal challenges by:,Software development contributes to societal challenges by:,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps., Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms., Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications., Supporting economic development through fintech solutions, e-commerce platforms, and digital marketplaces.",2
25,23-26 years old,Man,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Use the AI’s suggestion as one of several factors in the decision,5
26,23-26 years old,Man,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Ignore the AI’s suggestion and keep the employee,1
27,23-26 years old,Man,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,Spend time upfront to learn the basics of the language.,2
28,23-26 years old,Man,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,Seek assistance from a colleague who knows the language.,1
29,23-26 years old,Man,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,Use your existing knowledge and adapt as you go.,2
30,23-26 years old,Man,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,Suggest reallocating the project to someone with the necessary expertise.,1
31,23-26 years old,Man,You discover a critical bug right before a software release. What immediate action do you take?,You discover a critical bug right before a software release. What immediate action do you take?,Communicate with stakeholders about the issue and seek their input on how to proceed.,1
32,23-26 years old,Man,You discover a critical bug right before a software release. What immediate action do you take?,You discover a critical bug right before a software release. What immediate action do you take?,"Delay the release to assess and fix the bug, ensuring the product meets quality standards.",4
33,23-26 years old,Man,You discover a critical bug right before a software release. What immediate action do you take?,You discover a critical bug right before a software release. What immediate action do you take?,Release a limited beta version to a select group of users for further testing while addressing the bug.,1
34,23-26 years old,Man,"In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Prioritize the bug based on its severity and impact, and if it's critical, reallocate resources to fix it immediately, even if this means pushing back the delivery date",2
35,23-26 years old,Man,"In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps.",4
36,23-26 years old,Man,What is you preferred development environment?,What is you preferred development environment?,macOS,3
37,23-26 years old,Man, How do you learn to code?, How do you learn to code?,"School (i.e, University, College, etc)",1
38,23-26 years old,Man, How do you learn to code?, How do you learn to code?,Online Courses or Certification,1
39,23-26 years old,Man, How do you learn to code?, How do you learn to code?,"Online Courses or Certification, Books, Coding Bootcamp",1
40,23-26 years old,Man,What is the biggest challenge you face as a developer?,What is the biggest challenge you face as a developer?,Keeping up with new technologies,2
41,23-26 years old,Man,What is the biggest challenge you face as a developer?,What is the biggest challenge you face as a developer?,Work-life balance,1
42,23-26 years old,Man,"When choosing a programming language for a new project, you prioritize:","When choosing a programming language for a new project, you prioritize:",The specific requirements of the project,1
43,23-26 years old,Man,"When choosing a programming language for a new project, you prioritize:","When choosing a programming language for a new project, you prioritize:",The language's community support and ecosystem,2
44,23-26 years old,Man,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,"Use project management tools to assign tasks and track progress, ensuring everyone is aware of deadlines.",1
45,23-26 years old,Man,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,"Rely on informal chats and emails for quick updates, trusting team members to manage their time efficiently.",1
46,23-26 years old,Man,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,"Schedule regular meetings for updates and coordination, but keep them concise to avoid taking too much time away from work.",1
47,23-26 years old,Man,How do you ensure that you stay up-to-date with industry changes as a software developer?,How do you ensure that you stay up-to-date with industry changes as a software developer?,"Attend workshops, conferences, and webinars to gain insights from industry leaders and peers.",2
48,23-26 years old,Man,How do you ensure that you stay up-to-date with industry changes as a software developer?,How do you ensure that you stay up-to-date with industry changes as a software developer?,Engage in open-source projects and coding communities to get hands-on experience with cutting-edge technologies.,1
49,23-26 years old,Man,How do you balance between innovation and meeting project deadlines?,How do you balance between innovation and meeting project deadlines?,Focus solely on meeting deadlines,1
50,23-26 years old,Man,How do you balance between innovation and meeting project deadlines?,How do you balance between innovation and meeting project deadlines?,Allocate specific time for research and innovation,2
51,23-26 years old,Man,Software development contributes to societal challenges by:,Software development contributes to societal challenges by:,"Supporting economic development through fintech solutions, e-commerce platforms, and digital marketplaces.",2
52,23-26 years old,Man,Software development contributes to societal challenges by:,Software development contributes to societal challenges by:,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps.",1
53,23-26 years old,Man,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Use the AI’s suggestion as one of several factors in the decision,1
54,23-26 years old,Man,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Ignore the AI’s suggestion and keep the employee,1
55,23-26 years old,Man,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?","A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Follow the AI’s suggestion and fire the employee,1
56,23-26 years old,Man,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation? ,Use your existing knowledge and adapt as you go.,3
57,23-26 years old,Man,You discover a critical bug right before a software release. What immediate action do you take?,You discover a critical bug right before a software release. What immediate action do you take?,"Delay the release to assess and fix the bug, ensuring the product meets quality standards.",2
58,23-26 years old,Man,You discover a critical bug right before a software release. What immediate action do you take?,You discover a critical bug right before a software release. What immediate action do you take?,Release a limited beta version to a select group of users for further testing while addressing the bug.,1
59,23-26 years old,Man,"In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Prioritize the bug based on its severity and impact, and if it's critical, reallocate resources to fix it immediately, even if this means pushing back the delivery date",2
60,23-26 years old,Man,"In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps.",1
61,23-26 years old,Man,What is you preferred development environment?,What is you preferred development environment?,macOS,4
62,23-26 years old,Man,What is you preferred development environment?,What is you preferred development environment?,Windows,4
63,23-26 years old,Man, How do you learn to code?, How do you learn to code?,Online Courses or Certification,3
64,23-26 years old,Man, How do you learn to code?, How do you learn to code?,"School (i.e, University, College, etc)",3
65,23-26 years old,Man, How do you learn to code?, How do you learn to code?,"Online Courses or Certification, Books",1
