,Age,Gender,Experience,Question,Option,Count
0,18-22 years old,Man,Less than 1 year,What is your preferred development environment?,Windows,5
1,18-22 years old,Man,Less than 1 year,What is your preferred development environment?,Linux,1
2,18-22 years old,Man,Less than 1 year,How do you learn to code? Please select all that apply.,Online Courses or Certification,6
3,18-22 years old,Man,Less than 1 year,What is the biggest challenge you face as a developer?,Keeping up with new technologies,6
4,18-22 years old,Man,Less than 1 year,When choosing a programming language for a new project you prioritize:,The specific requirements of the project,5
5,18-22 years old,Man,Less than 1 year,When choosing a programming language for a new project you prioritize:,The language's community support and ecosystem,1
6,18-22 years old,Man,Less than 1 year,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,Use project management tools to assign tasks and track progress ensuring everyone is aware of deadlines.,6
7,18-22 years old,Man,Less than 1 year,How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies.",6
8,18-22 years old,Man,Less than 1 year,How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"Attend workshops, conferences, and webinars to gain insights from industry leaders and peers.",1
9,18-22 years old,Man,Less than 1 year,How do you balance between innovation and meeting project deadlines?,Allocate specific time for research and innovation,6
10,18-22 years old,Man,Less than 1 year,Software development contributes to societal challenges by:. Please select all that apply,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps",6
11,18-22 years old,Man,Less than 1 year,Software development contributes to societal challenges by:. Please select all that apply,"Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms",1
12,18-22 years old,Man,Less than 1 year,Software development contributes to societal challenges by:. Please select all that apply,"Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications",1
13,18-22 years old,Man,Less than 1 year,Software development contributes to societal challenges by:. Please select all that apply,"Supporting economic development through fintech solutions, e-commerce platforms, and digital marketplaces",1
14,18-22 years old,Man,Less than 1 year,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Use the AI’s suggestion as one of several factors in the decision,6
15,18-22 years old,Man,Less than 1 year,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Spend time upfront to learn the basics of the language,3
16,18-22 years old,Man,Less than 1 year,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Seek assistance from a colleague who knows the language,3
17,18-22 years old,Man,Less than 1 year,You discover a critical bug right before a software release. What immediate action do you take?,"Delay the release to assess and fix the bug, ensuring the product meets quality standards",6
18,18-22 years old,Man,Less than 1 year," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps",6
19,18-22 years old,Man,1-3 years,What is your preferred development environment?,Linux,3
20,18-22 years old,Man,1-3 years,What is your preferred development environment?,option_2,1
21,18-22 years old,Man,1-3 years,What is your preferred development environment?,Windows,2
22,18-22 years old,Man,1-3 years,How do you learn to code? Please select all that apply.,Online Courses or Certification,5
23,18-22 years old,Man,1-3 years,How do you learn to code? Please select all that apply.,option_2,1
24,18-22 years old,Man,1-3 years,What is the biggest challenge you face as a developer?,Keeping up with new technologies,5
25,18-22 years old,Man,1-3 years,What is the biggest challenge you face as a developer?,option_2,1
26,18-22 years old,Man,1-3 years,When choosing a programming language for a new project you prioritize:,The specific requirements of the project,5
27,18-22 years old,Man,1-3 years,When choosing a programming language for a new project you prioritize:,option_2,1
28,18-22 years old,Man,1-3 years,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,Use project management tools to assign tasks and track progress ensuring everyone is aware of deadlines.,5
29,18-22 years old,Man,1-3 years,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,option_2,1
30,18-22 years old,Man,1-3 years,How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies.",5
31,18-22 years old,Man,1-3 years,How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,option_2,1
32,18-22 years old,Man,1-3 years,How do you balance between innovation and meeting project deadlines?,Allocate specific time for research and innovation,5
33,18-22 years old,Man,1-3 years,How do you balance between innovation and meeting project deadlines?,option_2,1
34,18-22 years old,Man,1-3 years,Software development contributes to societal challenges by:. Please select all that apply,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps",5
35,18-22 years old,Man,1-3 years,Software development contributes to societal challenges by:. Please select all that apply,option_2,1
36,18-22 years old,Man,1-3 years,Software development contributes to societal challenges by:. Please select all that apply,"Enhancing education with e-learning platforms, interactive learning tools, and virtual classrooms",1
37,18-22 years old,Man,1-3 years,Software development contributes to societal challenges by:. Please select all that apply,"Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications",1
38,18-22 years old,Man,1-3 years,Software development contributes to societal challenges by:. Please select all that apply,"Supporting economic development through fintech solutions, e-commerce platforms, and digital marketplaces",1
39,18-22 years old,Man,1-3 years,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Use the AI’s suggestion as one of several factors in the decision,5
40,18-22 years old,Man,1-3 years,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",option_2,1
41,18-22 years old,Man,1-3 years,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Seek assistance from a colleague who knows the language,4
42,18-22 years old,Man,1-3 years,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,option_2,1
43,18-22 years old,Man,1-3 years,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Spend time upfront to learn the basics of the language,1
44,18-22 years old,Man,1-3 years,You discover a critical bug right before a software release. What immediate action do you take?,"Delay the release to assess and fix the bug, ensuring the product meets quality standards",5
45,18-22 years old,Man,1-3 years," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps",5
46,18-22 years old,Man,1-3 years," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Prioritize the bug based on its severity and impact, and if it's critical, reallocate resources to fix it immediately, even if this means pushing back the delivery date",1
47,18-22 years old,Man,3-5 years,What is your preferred development environment?,Linux,4
48,18-22 years old,Man,3-5 years,What is your preferred development environment?,Windows,2
49,18-22 years old,Man,3-5 years,How do you learn to code? Please select all that apply.,Online Courses or Certification,6
