Age,Gender,Experience,Question,Answer
18-22 years old,Woman,Less than 1 year,What is your preferred development environment?,Linux
18-22 years old,Woman,Less than 1 year,How do you learn to code? Please select all that apply.,"Online Courses or Certification, Coding Bootcamp"
18-22 years old,Woman,Less than 1 year,What is the biggest challenge you face as a developer?,Time management
18-22 years old,Woman,Less than 1 year,When choosing a programming language for a new project you prioritize:,The language's community support and ecosystem
18-22 years old,Woman,Less than 1 year,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,"Use project management tools to assign tasks and track progress, ensuring everyone is aware of deadlines."
18-22 years old,Woman,Less than 1 year,How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies., Attend workshops, conferences, and webinars to gain insights from industry leaders and peers., Engage in open-source projects and coding communities to get hands-on experience with cutting-edge technologies."
18-22 years old,Woman,Less than 1 year,How do you balance between innovation and meeting project deadlines?,Allocate specific time for research and innovation
18-22 years old,Woman,Less than 1 year,Software development contributes to societal challenges by:. Please select all that apply,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps., Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications."
18-22 years old,Woman,Less than 1 year,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Ignore the AI’s suggestion and keep the employee
18-22 years old,Woman,Less than 1 year,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Spend time upfront to learn the basics of the language.
18-22 years old,Woman,Less than 1 year,You discover a critical bug right before a software release. What immediate action do you take?,"Delay the release to assess and fix the bug, ensuring the product meets quality standards."
18-22 years old,Woman,Less than 1 year," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps."
27-35 years old,Man,3-5 years,What is your preferred development environment?,Windows
27-35 years old,Man,3-5 years,How do you learn to code? Please select all that apply.,"Online Courses or Certification, Coding Bootcamp"
27-35 years old,Man,3-5 years,What is the biggest challenge you face as a developer?,Keeping up with new technologies
27-35 years old,Man,3-5 years,When choosing a programming language for a new project you prioritize:,The language's community support and ecosystem
27-35 years old,Man,3-5 years,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,"Use project management tools to assign tasks and track progress, ensuring everyone is aware of deadlines., Implement a combination of written documentation for clarity and regular communication."
27-35 years old,Man,3-5 years,How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies., Attend workshops, conferences, and webinars to gain insights from industry leaders and peers., Participate in online courses and certification programs to acquire new skills and knowledge., Engage in open-source projects and coding communities to get hands-on experience with cutting-edge technologies."
27-35 years old,Man,3-5 years,How do you balance between innovation and meeting project deadlines?,Allocate specific time for research and innovation
27-35 years old,Man,3-5 years,Software development contributes to societal challenges by:. Please select all that apply,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps., Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications."
27-35 years old,Man,3-5 years,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Use the AI’s suggestion as one of several factors in the decision
27-35 years old,Man,3-5 years,You're assigned to a project that requires expertise in a programming language you're not familiar with. The deadline is tight. What is your strategy to tackle this situation?,Spend time upfront to learn the basics of the language.
27-35 years old,Man,3-5 years,You discover a critical bug right before a software release. What immediate action do you take?,"Delay the release to assess and fix the bug, ensuring the product meets quality standards."
27-35 years old,Man,3-5 years," In a professional setting, if your team is supposed to deliver a SaaS product within a two-day timeframe, and you discover a critical bug in the software, how would you address and handle this situation?","Inform your team leader or project manager about the bug immediately, and work collaboratively to assess its impact and decide on the next steps."
23-26 years old,Woman,1-3 years,What is your preferred development environment?,Linux
23-26 years old,Woman,1-3 years,How do you learn to code? Please select all that apply.,"Online Courses or Certification, School (i.e., University, College, etc.)"
23-26 years old,Woman,1-3 years,What is the biggest challenge you face as a developer?,Keeping up with new technologies
23-26 years old,Woman,1-3 years,When choosing a programming language for a new project you prioritize:,The language's community support and ecosystem
23-26 years old,Woman,1-3 years,How do you communicate effectively with teammates to collaborate while adhering to the timelines?,"Use project management tools to assign tasks and track progress, ensuring everyone is aware of deadlines., Rely on informal chats and emails for quick updates, trusting team members."
23-26 years old,Woman,1-3 years,How do you ensure that you stay up-to-date with industry changes as a software developer? Please select all that apply.,"Regularly read industry blogs, websites, and journals to learn about the latest trends and technologies., Attend workshops, conferences, and webinars to gain insights from industry leaders and peers., Engage in open-source projects and coding communities to get hands-on experience with cutting-edge technologies."
23-26 years old,Woman,1-3 years,How do you balance between innovation and meeting project deadlines?,Allocate specific time for research and innovation
23-26 years old,Woman,1-3 years,Software development contributes to societal challenges by:. Please select all that apply,"Improving healthcare through technology, such as telemedicine platforms and health tracking apps., Addressing climate change with environmental monitoring systems, carbon footprint calculators, and energy efficiency applications."
23-26 years old,Woman,1-3 years,"A company uses an AI system to monitor its employees' productivity. The AI suggests firing an employee based on low productivity, but the employee is going through a tough personal time. How should the company proceed?",Ignore the AI’s suggestion and keep the employee
